ORDERNUMBER,QUANTITYORDERED,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,COUNTRY,DEALSIZE
10107,30,2,2871,2/24/2003 0:00,Shipped,USA,Small
10121,34,5,2765.9,5/7/2003 0:00,Shipped,France,Small
10134,41,2,3884.34,7/1/2003 0:00,Shipped,France,Medium
10145,45,6,3746.7,8/25/2003 0:00,Shipped,USA,Medium
10159,49,14,5205.27,10/10/2003 0:00,Shipped,USA,Medium
10168,36,1,3479.76,10/28/2003 0:00,Shipped,USA,Medium
10180,29,9,2497.77,11/11/2003 0:00,Shipped,France,Small
10188,48,1,5512.32,11/18/2003 0:00,Shipped,Norway,Medium
10201,22,2,2168.54,12/1/2003 0:00,Shipped,USA,Small
10211,41,14,4708.44,1/15/2004 0:00,Shipped,France,Medium
10223,37,1,3965.66,2/20/2004 0:00,Shipped,Australia,Medium
10237,23,7,2333.12,4/5/2004 0:00,Shipped,USA,Small
10251,28,2,3188.64,5/18/2004 0:00,Shipped,USA,Medium
10263,34,2,3676.76,6/28/2004 0:00,Shipped,USA,Medium
10275,45,1,4177.35,7/23/2004 0:00,Shipped,France,Medium
10285,36,6,4099.68,8/27/2004 0:00,Shipped,USA,Medium
10299,23,9,2597.39,9/30/2004 0:00,Shipped,Finland,Small
10309,41,5,4394.38,10/15/2004 0:00,Shipped,Norway,Medium
10318,46,1,4358.04,11/2/2004 0:00,Shipped,USA,Medium
10329,42,1,4396.14,11/15/2004 0:00,Shipped,USA,Medium
10341,41,9,7737.93,11/24/2004 0:00,Shipped,Austria,Large
10361,20,13,1451,12/17/2004 0:00,Shipped,Australia,Small
10375,21,12,733.11,2/3/2005 0:00,Shipped,France,Small
10388,42,4,3207.12,3/3/2005 0:00,Shipped,USA,Medium
10403,24,7,2434.56,4/8/2005 0:00,Shipped,UK,Small
10417,66,2,7516.08,5/13/2005 0:00,Disputed,Spain,Large
10103,26,11,5404.62,1/29/2003 0:00,Shipped,Norway,Medium
10112,29,1,7209.11,3/24/2003 0:00,Shipped,Sweden,Large
10126,38,11,7329.06,5/28/2003 0:00,Shipped,Spain,Large
10140,37,11,7374.1,7/24/2003 0:00,Shipped,USA,Large
10150,45,8,10993.5,9/19/2003 0:00,Shipped,Singapore,Large
10163,21,1,4860.24,10/20/2003 0:00,Shipped,USA,Medium
10174,34,4,8014.82,11/6/2003 0:00,Shipped,Australia,Large
10183,23,8,5372.57,11/13/2003 0:00,Shipped,USA,Medium
10194,42,11,7290.36,11/25/2003 0:00,Shipped,France,Large
10206,47,6,9064.89,12/5/2003 0:00,Shipped,Canada,Large
10215,35,3,6075.3,1/29/2004 0:00,Shipped,USA,Medium
10228,29,2,6463.23,3/10/2004 0:00,Shipped,USA,Medium
10245,34,9,6120.34,5/4/2004 0:00,Shipped,USA,Medium
10258,32,6,7680.64,6/15/2004 0:00,Shipped,Japan,Large
10270,21,9,4905.39,7/19/2004 0:00,Shipped,Australia,Medium
10280,34,2,8014.82,8/17/2004 0:00,Shipped,Italy,Large
10291,37,11,7136.19,9/8/2004 0:00,Shipped,Sweden,Large
10304,47,6,10172.7,10/11/2004 0:00,Shipped,France,Large
10312,48,3,11623.7,10/21/2004 0:00,Shipped,USA,Large
10322,40,1,6000.4,11/4/2004 0:00,Shipped,USA,Medium
10333,26,3,3003,11/18/2004 0:00,Shipped,USA,Medium
10347,30,1,3944.7,11/29/2004 0:00,Shipped,Australia,Medium
10357,32,10,5691.84,12/10/2004 0:00,Shipped,USA,Medium
10369,41,2,4514.92,1/20/2005 0:00,Shipped,USA,Medium
10381,36,3,8254.8,2/17/2005 0:00,Shipped,USA,Large
10391,24,4,2416.56,3/9/2005 0:00,Shipped,Australia,Small
10411,23,9,4140.23,5/1/2005 0:00,Shipped,Canada,Medium
10424,50,6,12001,5/31/2005 0:00,In Process,Spain,Large
10107,39,5,3896.49,2/24/2003 0:00,Shipped,USA,Medium
10120,29,3,2793.86,4/29/2003 0:00,Shipped,Australia,Small
10134,27,5,3307.77,7/1/2003 0:00,Shipped,France,Medium
10145,37,9,5192.95,8/25/2003 0:00,Shipped,USA,Medium
10159,37,17,5016.83,10/10/2003 0:00,Shipped,USA,Medium
10168,27,4,3660.93,10/28/2003 0:00,Shipped,USA,Medium
10180,42,12,4695.6,11/11/2003 0:00,Shipped,France,Medium
10188,38,4,3660.92,11/18/2003 0:00,Shipped,Norway,Medium
10201,24,5,3025.92,12/1/2003 0:00,Shipped,USA,Medium
10210,23,2,3009.09,1/12/2004 0:00,Shipped,Japan,Medium
10223,47,4,5422.39,2/20/2004 0:00,Shipped,Australia,Medium
10236,22,1,2852.08,4/3/2004 0:00,Shipped,USA,Small
10251,44,5,5756.52,5/18/2004 0:00,Shipped,USA,Medium
10263,40,5,4472,6/28/2004 0:00,Shipped,USA,Medium
10275,22,4,2904.44,7/23/2004 0:00,Shipped,France,Small
10285,47,9,6484.59,8/27/2004 0:00,Shipped,USA,Medium
10298,39,1,3757.26,9/27/2004 0:00,Shipped,France,Medium
10308,34,2,4043.96,10/15/2004 0:00,Shipped,USA,Medium
10318,45,4,5566.5,11/2/2004 0:00,Shipped,USA,Medium
10329,20,2,3176,11/15/2004 0:00,Shipped,USA,Medium
10339,40,4,2756.8,11/23/2004 0:00,Shipped,Japan,Small
10361,26,8,1329.9,12/17/2004 0:00,Shipped,Australia,Small
10374,39,5,5288.01,2/2/2005 0:00,Shipped,Australia,Medium
10388,50,5,2225.5,3/3/2005 0:00,Shipped,USA,Small
10402,45,1,5833.8,4/7/2005 0:00,Shipped,France,Medium
10417,45,5,5887.35,5/13/2005 0:00,Disputed,Spain,Medium
10107,27,4,6065.55,2/24/2003 0:00,Shipped,USA,Medium
10120,46,2,9264.86,4/29/2003 0:00,Shipped,Australia,Large
10134,31,4,7023.98,7/1/2003 0:00,Shipped,France,Large
10145,33,8,5176.38,8/25/2003 0:00,Shipped,USA,Medium
10159,22,16,4132.7,10/10/2003 0:00,Shipped,USA,Medium
10168,20,3,4183,10/28/2003 0:00,Shipped,USA,Medium
10180,41,11,8892.9,11/11/2003 0:00,Shipped,France,Large
10188,45,3,8714.7,11/18/2003 0:00,Shipped,Norway,Large
10201,49,4,8065.89,12/1/2003 0:00,Shipped,USA,Large
10210,34,1,6123.4,1/12/2004 0:00,Shipped,Japan,Medium
10223,49,3,9774.03,2/20/2004 0:00,Shipped,Australia,Large
10237,39,9,7023.9,4/5/2004 0:00,Shipped,USA,Large
10251,43,4,7078.23,5/18/2004 0:00,Shipped,USA,Large
10263,41,4,8336.94,6/28/2004 0:00,Shipped,USA,Large
10275,36,3,6901.92,7/23/2004 0:00,Shipped,France,Medium
